,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City ID
200,atar,19.57976571662911,-9.671322719769364,105.84,15,0,9.51,MR,1562507505,2381334.0
201,acapulco,5.974626520976685,-103.52373464165373,80.6,83,75,3.36,MX,1562507761,3533462.0
202,viedma,-40.05190307400331,-63.02515271771709,51.66,56,100,13.42,AR,1562507761,3832899.0
203,padang,-6.069627187078666,92.05634039612335,80.1,78,100,8.16,ID,1562507762,1633419.0
204,nizhneyansk,88.31058604953003,136.19307768762081,,,,,,,
205,palmer,57.19634398136634,-143.75320447548617,47.32,93,0,4.7,AU,1562507762,2067070.0
206,lakatoro,-15.686773991294018,168.17737164234757,77.94,78,15,11.05,VU,1562507762,2136697.0
207,severnoye,57.87993276950854,77.68475515185469,61.56,78,0,12.39,RU,1562507762,496381.0
208,dubbo,-32.013862044885585,148.16172455061422,55.4,87,90,8.05,AU,1562507763,2168305.0
209,huarmey,-19.242541458294056,-94.47264233107317,63.36,88,100,12.75,PE,1562507763,3939168.0
210,asyut,25.394876700763007,27.849453295178023,100.4,19,0,13.87,EG,1562507763,359783.0
211,sibolga,0.3803689947320663,97.29321001376888,83.88,71,100,4.94,ID,1562507759,1213855.0
212,camana,-17.750409332548756,-73.98548319540153,,,,,,,
213,varhaug,56.746001208379994,2.751099454788971,55.6,67,75,18.34,NO,1562507764,3132644.0
214,kondinskoye,59.68010447995775,67.51471338167809,58.5,83,100,8.84,RU,1562507764,1502697.0
215,coquimbo,-29.60653982496474,-82.36115611189045,53.6,87,75,3.36,CL,1562507764,3893629.0
216,puerto del rosario,27.856852724460495,-13.92712169511583,79.02,65,20,17.22,ES,1562507764,2512186.0
217,cap malheureux,-15.333174857607844,55.92247547269551,75.72,73,40,9.17,MU,1562507764,934649.0
218,lensk,61.134202852463204,113.73043861168503,65.7,73,30,3.91,RU,1562507765,2020838.0
219,okhotsk,58.12543057332931,143.0529234556153,46.26,90,0,7.4,RU,1562507765,2122605.0
220,saint-augustin,50.73561897579853,-58.30815800463827,66.92,52,20,6.93,CA,1562507765,6138501.0
221,asau,-16.412036286211872,179.6611182635,,,,,,,
222,suileng,47.23060812121028,127.23836349735586,70.74,84,100,4.21,CN,1562507766,2034651.0
223,cayenne,16.643958232558475,-41.63639443333582,84.2,70,75,11.41,GF,1562507766,3382160.0
224,ahipara,-34.83905237167246,165.82152519437545,57.24,73,50,18.52,NZ,1562507766,2194098.0
225,puerto escondido,13.916181967973415,-97.54805507645204,73.4,78,5,9.17,MX,1562507766,3520994.0
226,east london,-65.25952028156831,45.59461971207972,68.0,34,0,23.04,ZA,1562507767,1006984.0
227,vilhena,-11.152718957369316,-58.65966101088202,62.6,39,0,12.75,BR,1562507767,3924679.0
228,santo tomas,-14.44979305692037,-72.41683385446522,81.32,83,75,9.17,PH,1562507767,1687543.0
229,dawson creek,54.83708568500458,-120.39201550765887,52.12,93,90,3.36,CA,1562507767,5935804.0
